Id	CAS	SMILES	Set	Log SF
285	70362-50-4	c1cc(ccc1c2cc(c(c(c2)Cl)Cl)Cl)Cl	Training	1.59
286	630-20-6	C(C(Cl)(Cl)Cl)Cl	Training	-1.59
287	79-34-5	C(C(Cl)Cl)(Cl)Cl	Training	-0.7
288	127-18-4	C(=C(Cl)Cl)(Cl)Cl	Test	-2.68
289	5216-25-1	c1cc(ccc1C(Cl)(Cl)Cl)Cl	Training	1.3
290	3570-75-0	O=CNNc1nc(cs1)c2oc(cc2)[N+](=O)[O-]	Training	0.36
291	62-55-5	NC(C)=S	Training	0.79
292	139-65-1	Nc1ccc(cc1)Sc2ccc(N)cc2	Test	1.18
293	62-56-6	NC(N)=S	Training	-1.14
294	95-80-7	Nc1ccc(c(N)c1)C	Training	0.58
295	95-70-5	Nc1ccc(N)c(c1)C	Training	-0.74
296	95-53-4	Nc1ccccc1C	Training	-1.8
297	106-49-0	Nc1ccc(cc1)C	Training	-1.52
298	8001-35-2	C=C1C(CCl)(CCl)C2(C(C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl	Training	0.04
299	126-73-8	O=P(OCCCC)(OCCCC)OCCCC	Training	-2.05
300	76-03-9	O=C(O)C(Cl)(Cl)Cl	Training	-1.15
301	634-93-5	Nc1c(cc(cc1Cl)Cl)Cl	Training	-2.15
302	120-82-1	c1cc(c(cc1Cl)Cl)Cl	Training	-1.54
303	79-00-5	C(C(Cl)Cl)Cl	Training	-1.24
304	79-01-6	C(=C(Cl)Cl)Cl	Test	-1.34
