No.	CAS	SMILES	Set	Exp KOA	Pred (weighted)
217	52663-60-2	c2cc(c1c(ccc(c1Cl)Cl)Cl)c(c(c2)Cl)Cl	Training	8.8	9.1264
218	52663-68-0	c2c(c1c(c(cc(c1Cl)Cl)Cl)Cl)c(cc(c2Cl)Cl)Cl	Training	9.87	10.5919
219	52663-71-5	c1cc(c(c(c1c2c(cc(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	10.24	10.4189
220	53555-63-8	c2cc1c(cc(c(c1Cl)Cl)Cl)c(c2)Cl	Training	8.29	8.4566
221	53555-64-9	c2c1c(cc(cc1Cl)Cl)c(cc2Cl)Cl	Training	7.9	8.1787
222	53555-65-0	c2c1c(cc(c(c1Cl)Cl)Cl)c(cc2Cl)Cl	Training	8.82	8.9330
223	55673-89-7	o2c1cc(c(c(c1c3c2c(c(c(c3Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	11.43	10.8988
224	55720-43-9	c2cc(c1cc(c(cc1c2Cl)Cl)Cl)Cl	Training	8.13	8.2350
225	57117-31-4	o2c1cc(c(cc1c3cc(c(c(c23)Cl)Cl)Cl)Cl)Cl	Training	10.37	9.6449
226	57117-44-9	o2c1cc(c(c(c1c3cc(c(c(c23)Cl)Cl)Cl)Cl)Cl)Cl	Training	10.78	10.8239
227	57465-28-8	c1cc(c(cc1c2cc(c(c(c2)Cl)Cl)Cl)Cl)Cl	Training	10.35	9.5436
228	57653-85-7	O1c3cc(c(c(c3(Oc2cc(c(c(c12)Cl)Cl)Cl))Cl)Cl)Cl	Training	10.97	10.1884
229	58802-20-3	o2c1ccc(c(c1c3cc(c(cc23)Cl)Cl)Cl)Cl	Training	9.78	9.3393
230	60348-60-9	O(c1ccc(cc1Br)Br)c2cc(c(cc2Br)Br)Br	Training	11.31	11.2104
231	60851-34-5	o2c1c(cc(c(c1Cl)Cl)Cl)c3cc(c(c(c23)Cl)Cl)Cl	Training	10.87	10.8239
232	67562-39-4	o2c1c(cc(c(c1Cl)Cl)Cl)c3c2c(c(c(c3Cl)Cl)Cl)Cl	Training	11.17	10.8988
233	67922-21-8	c1cc(cc2c1c(cc(c2Cl)Cl)Cl)Cl	Training	8.13	8.3177
234	70648-26-9	o2c1cc(c(cc1c3c2c(c(c(c3Cl)Cl)Cl)Cl)Cl)Cl	Training	10.77	10.8239
235	72918-21-9	o2c1cc(c(c(c1c3c2cc(c(c3Cl)Cl)Cl)Cl)Cl)Cl	Training	10.93	10.8239
236	73575-54-9	c2cc(c(c1c(ccc(c1Cl)Cl)Cl)c(c2)Cl)Cl	Training	8.53	9.3737
237	74472-47-2	c1cc(cc(c1c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	10.51	10.2893
238	83704-54-5	o2c1ccc(c(c1c3c2cc(c(c3Cl)Cl)Cl)Cl)Cl	Training	10.48	9.6449
239	90948-28-0	c2c(c1c(c(cc(c1Cl)Cl)Cl)c(c2Cl)Cl)Cl	Training	9.69	9.4096
240	92341-07-6	o2c1ccc(c(c1c3c2c(c(c(c3Cl)Cl)Cl)Cl)Cl)Cl	Training	10.95	10.8239
241	103426-94-4	c2c1c(c(c(cc1Cl)Cl)Cl)c(c(c2Cl)Cl)Cl	Training	9.67	9.7905
242	103426-96-6	c1c2c(cc(c1Cl)Cl)c(c(c(c2Cl)Cl)Cl)Cl	Training	9.58	9.8118
243	103426-97-7	c2c1c(cc(c(c1Cl)Cl)Cl)c(c(c2Cl)Cl)Cl	Training	9.58	9.8118
244	150224-24-1	c2cc(c1c(cc(c(c1Cl)Cl)Cl)c2Cl)Cl	Training	9.1	8.9330
245	182346-21-0	O(c1ccc(cc1Br)Br)c2ccc(c(c2Br)Br)Br	Training	11.66	10.9971
246	55720-33-7	c2cc1c(ccc(c1Cl)Cl)c(c2)Cl	Training	7.5	7.5226
247	51570-44-6	c1cc(c(c2ccc(cc12)Cl)Cl)Cl	Training	7.5	7.5226
248	55720-34-8	c1cc(cc2c1ccc(c2Cl)Cl)Cl	Training	7.5	7.5226
249	55720-39-3	c2cc1cc(c(cc1c(c2)Cl)Cl)Cl	Training	7.5	7.5226
250	51570-43-5	c2cc1c(cc(cc1Cl)Cl)c(c2)Cl	Training	7.32	7.4914
251	2437-54-9	c1cc(cc2c1c(ccc2Cl)Cl)Cl	Training	7.27	7.4976
252	2437-55-0	c1cc2c(c(c1)Cl)c(ccc2Cl)Cl	Training	7.56	7.4914
253	55720-41-7	c1cc(cc2c1cc(c(c2Cl)Cl)Cl)Cl	Training	8.35	8.4566
254	51570-45-7	c1cc(cc2c1c(c(cc2Cl)Cl)Cl)Cl	Training	8.08	8.3177
255	6733-54-6	c1cc2c(c(c1)Cl)c(cc(c2Cl)Cl)Cl	Training	8.58	8.2622
256	6529-87-9	c1cc2c(c(c1)Cl)c(c(cc2Cl)Cl)Cl	Training	8.41	8.2622
257	149864-80-2	c1cc(c(c2c1c(ccc2Cl)Cl)Cl)Cl	Training	8.4	8.3177
258	3432-57-3	c1cc(c2c(c1Cl)c(ccc2Cl)Cl)Cl	Training	8.45	8.1787
259	149864-81-3	c2cc1cc(c(c(c1c(c2)Cl)Cl)Cl)Cl	Training	8.65	8.4193
260	67922-22-9	c1cc(c(c2ccc(c(c12)Cl)Cl)Cl)Cl	Training	8.28	8.4154
261	149864-79-9	c1cc(c(c2cc(c(cc12)Cl)Cl)Cl)Cl	Training	8.34	8.4154
262	150224-15-0	c2c1cc(cc(c1c(cc2Cl)Cl)Cl)Cl	Training	8.28	8.1769
263	34588-40-4	c1c2cc(c(cc2(cc(c1Cl)Cl))Cl)Cl	Training	8.45	8.4154
264	149864-82-4	c1cc(c(c2c1ccc(c2Cl)Cl)Cl)Cl	Training	8.65	8.4566
265	6876-00-2	O(c1ccccc1)c2cccc(c2)Br	Training	7.36	7.4123
266	171977-44-9	O(c1ccccc1)c2ccc(cc2Br)Br	Training	8.37	8.0728
267	189084-59-1	O(c1ccccc1)c2ccc(c(c2)Br)Br	Training	8.55	8.0728
268	51930-04-2	O(c1ccccc1)c2c(cccc2Br)Br	Training	8.12	7.8974
269	147217-71-8	O(c1ccc(cc1)Br)c2ccccc2Br	Training	8.47	8.2277
270	83694-71-7	O(c1ccc(cc1)Br)c2cccc(c2)Br	Training	8.57	8.4183
