ID	CAS	MDL SMILES Structure	Status	Log BCF exp	LOO Knn Prediction
254	121-75-5	O=C(OCC)CC(C(=O)OCC)SP(OC)(OC)=S	Training	1.002	1.154269216
255	121-92-6	O=C(O)c1cccc(c1)[N+](=O)[O-]	Training	0.351	0.5476517901
256	122-14-5	O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1C	Training	1.834	1.2320269634
257	122-20-3	OC(C)CN(CC(O)C)CC(O)C	Training	-0.733	0.5436990154
258	122-34-9	n1c(nc(nc1NCC)Cl)NCC	Training	1.108	0.7825761045
259	122-39-4	c1ccc(cc1)Nc2ccccc2	Training	2.299	2.4283568395
260	123-48-8	C(=C(C)CC(C)(C)C)C(C)(C)C	Training	3.29	3.0790178369
261	123-63-7	O1C(OC(OC1C)C)C	Training	0.085	0.4288674016
262	123-91-1	O1CCOCC1	Training	-0.268	0.1764063908
263	124-11-8	C=CCCCCCCC	Training	3.181	3.3066682405
264	126-30-7	OCC(C)(C)CO	Training	0.157	-0.0290756238
265	126-33-0	O=S1(=O)(CCCC1)	Training	0.376	-999
266	126-72-7	O=P(OCC(CBr)Br)(OCC(CBr)Br)OCC(CBr)Br	Training	0.384	0.8235603789
267	126-73-8	O=P(OCCCC)(OCCCC)OCCCC	Training	1.283	0.5065301378
268	127-18-4	C(=C(Cl)Cl)(Cl)Cl	Training	1.838	1.6374100724
269	127-90-2	O(CC(C(Cl)(Cl)Cl)Cl)CC(C(Cl)(Cl)Cl)Cl	Training	3.502	-999
270	128-37-0	Oc1c(cc(cc1C(C)(C)C)C)C(C)(C)C	Training	3.199	3.2254715104
271	128-86-9	O=C1c3c(O)c(cc(N)c3(C(=O)c2c(O)c(cc(N)c12)S(=O)(=O)O))S(=O)(=O)O	Training	0.31	0.676079939
272	129-00-0	c1cc2ccc3cccc4ccc(c1)c2c34	Training	2.747	2.6175942956
273	129-43-1	O=C1c3ccccc3(C(=O)c2c(O)cccc12)	Training	2.374	1.9364945052
274	131-09-9	O=C1c3ccccc3(C(=O)c2cc(ccc12)Cl)	Training	2.34	2.1170626328
275	131-57-7	O=C(c1ccccc1)c2ccc(OC)cc2(O)	Training	2.091	1.4356474771
276	132-64-9	o2c1ccccc1c3ccccc23	Training	3.189	2.922827449
277	132-65-0	c1ccc3c(c1)c2ccccc2s3	Training	3.156	2.7609218921
278	134-32-7	Nc1cccc2ccccc12	Training	1.485	0.9309933316
279	134-47-4	O=C(Nc1ccc2c(O)cc(cc2(c1))S(=O)(=O)O)Nc3ccc4c(O)cc(cc4(c3))S(=O)(=O)O	Training	-0.23	0.9645375867
280	134-62-3	O=C(c1cccc(c1)C)N(CC)CC	Training	0.292	0.356550393
281	135-88-6	c1ccc(cc1)Nc2ccc3ccccc3(c2)	Training	2.388	2.8211041312
282	137-26-8	C(N(C)C)(=S)SSC(N(C)C)=S	Training	0.537	-999
283	141-93-5	c1cc(cc(c1)CC)CC	Training	2.812	2.7815167616
284	142-96-1	O(CCCC)CCCC	Training	1.912	2.1940319504
285	144-19-4	OCC(C)(C)C(O)C(C)C	Training	-0.312	0.6527206206
286	148-75-4	O=S(=O)(O)c1ccc2cc(O)c(cc2(c1))S(=O)(=O)O	Training	0.3	0.5752129323
287	149-30-4	c1ccc2c(c1)NC(=S)S2	Training	0.403	1.4296149877
288	156-43-4	O(c1ccc(N)cc1)CC	Training	0.521	0.7414161509
289	198-55-0	c1cc2cccc3c5cccc4cccc(c(c1)c23)c45	Training	2.38	2.6236010069
290	206-44-0	c1ccc2c(c1)c4cccc3cccc2c34	Training	3.441	2.9634623181
291	208-96-8	c1cc2cccc3C=Cc(c1)c23	Training	2.523	3.0421092109
292	217-59-4	c1ccc3c(c1)c2ccccc2c4ccccc34	Training	2.41	2.5573444688
293	218-01-9	c1ccc2c(c1)ccc3c4ccccc4(ccc23)	Training	2.24	2.6015901033
294	2497-06-5	O=S(=O)(CC)CCSP(OCC)(OCC)=S	Training	0.341	1.2836073779
295	2497-07-6	O=S(CC)CCSP(OCC)(OCC)=S	Training	0	1.4908525407
296	298-04-4	O(CC)P(OCC)(=S)SCCSCC	Training	2.62	0.8165021273
297	226-36-8	n3c5ccc1ccccc1c5(cc4ccc2ccccc2c34)	Training	2.029	2.6091377138
298	2597-03-7	O=C(OCC)C(c1ccccc1)SP(OC)(OC)=S	Training	1.9	1.3637145286
299	294-62-2	C1CCCCCCCCCCC1	Training	3.978	3.2367259236
300	298-06-6	O(CC)P(OCC)(=S)S	Training	0.199	1.3307877311
301	298-07-7	O=P(O)(OCC(CC)CCCC)OCC(CC)CCCC	Training	0.599	1.3311834592
302	306-52-5	O=P(O)(O)OCC(Cl)(Cl)Cl	Training	0.078	-0.073507915
