Name	Standardized SMILES	SMILES (ionized)	Exp (square root of fraction unbound)	Prediction	Set	AD evaluation	ALOGP	P_VSA_i_2	MLOGP	P_VSA_p_3	Eta_betaP	CATS2D_00_LL	C.	PCD	Ui	CATS2D_01_LL	nCar	SpMin1_Bh.i.	Eta_betaP_A	SM12_AEA.ri.	N.	nN.	totalcharge	CATS2D_00_PP	SpMax2_Bh.m.	C.024
Amantadine	NC23(CC1CC(CC(C1)C2)C3)	[NH3+]C12CC3CC(CC(C3)C1)C2	0.574456265	0.7329490568	TS		0.491	15.207	-1.182	15.207	0	9	34.5	0	0	9	0	2.025	0	2.506	3.4	1	1	1	3.233	0
Lidocaine	O=C(Nc1c(cccc1C)C)CN(CC)CC	CC[NH+](CC)CC(=O)NC1=C(C)C=CC=C1C	0.574456265	0.7509515374	TS		1.279	83.879	-1.164	83.879	8	9	35	1.26	2.322	6	6	1.913	0.471	2.869	5	1	1	1	3.691	3
Chloramphenicol	O=C(NC(CO)C(O)c1ccc(cc1)[N+](=O)[O-])C(Cl)Cl	OCC(NC(=O)C(Cl)Cl)C(O)C1=CC=C(C=C1)[N+]([O-])=O	0.583095189	0.6596573612	TS		1.02	48.552	1.228	126.849	10.5	7	34.4	1.38	2.807	4	6	1.916	0.525	3.389	6.3	0	0	0	3.955	4
Sch34343	O=C(O)C2=C(SCCOC(=O)N)SC1N2(C(=O)C1(C(O)C))	CC(O)C1C2SC(SCCOC(N)=O)=C(N2C1=O)C([O-])=O	0.591607978	0.8982446847	TS		-0.693	35.256	-0.434	99.695	6	4	32.4	0.609	2.322	0	0	1.776	0.286	3.282	5.9	0	-1	1	3.733	0
Granisetron	O=C(NC2CC1N(C)C(CCC1)C2)c3nn(c4ccccc34)C	CN1N=C(C(=O)NC2CC3CCCC(C2)[NH+]3C)C2=CC=CC=C12	0.591607978	0.7463109508	TS		0.841	79.549	-1.439	79.549	9.5	10	37.5	2.012	2.807	6	7	1.931	0.413	3.212	8.3	1	1	1	3.9	4
Phencyclidine	c1ccc(cc1)C3(N2CCCCC2)(CCCCC3)	C1CC[NH+](CC1)C1(CCCCC1)C1=CC=CC=C1	0.591607978	0.4401990206	TS		2.975	75.054	0.326	75.054	6	14	38.6	0.942	2	12	6	1.976	0.333	2.939	2.3	1	1	1	3.69	5
Chlormethiazole	n1csc(c1C)CCCl	CC1=C(CCCl)SC=N1	0.6	0.7854021795	TS		1.493	25.545	1.296	95.971	4	4	35.3	0.956	1.807	0	3	1.636	0.444	1.826	5.9	0	0	0	3.719	0
Indinavir	O=C(NC2c1ccccc1CC2(O))C(Cc3ccccc3)CC(O)CN5CCN(Cc4cnccc4)CC5(C(=O)NC(C)(C)C)	CC(C)(C)NC(=O)C1CN(CC2=CN=CC=C2)CCN1CC(O)CC(CC1=CC=CC=C1)C(=O)NC1C(O)CC2=CC=CC=C12	0.6	0.2427231246	TS		3.189	189.093	1.725	189.093	21	22	39.1	1.876	3.585	18	17	1.908	0.467	3.471	5.4	0	0	0	3.885	11
Mexiletine	O(c1c(cccc1C)C)CC(N)C	CC([NH3+])COC1=C(C)C=CC=C1C	0.6	0.7461452143	TS		1.33	71.111	-1.46	71.111	6.5	8	35.5	1.233	2	6	6	1.905	0.5	2.481	3.2	1	1	1	3.529	3
Tirofiban	O=C(O)C(NS(=O)(=O)CCCC)Cc2ccc(OCCCCC1CCNCC1)cc2	CCCCS(=O)(=O)NC(CC1=CC=C(OCCCCC2CC[NH2+]CC2)C=C1)C([O-])=O	0.6	0.5682964314	TS		1.82	91.854	-1.745	97.661	11	15	33.3	1.252	2.807	12	6	1.911	0.367	3.644	3	1	0	1	3.878	4
Dofetilide	O=S(=O)(Nc2ccc(OCCN(C)CCc1ccc(cc1)NS(=O)(=O)C)cc2)C	C[NH+](CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1	0.6	0.4355641173	TS		1.063	123.868	-2.541	135.483	19.5	10	33.3	2.31	3.459	7	12	1.924	0.672	4.441	5.3	1	1	1	4.709	8
Hydroxyimipramine, 2-	Oc1ccc3c(c1)CCc2ccccc2N3CCCN(C)C	C[NH+](C)CCCN1C2=CC=CC=C2CCC2=CC(O)=CC=C12	0.6	0.3470026515	TS		2.56	106.826	-0.376	106.826	13	12	40.4	2.446	2.807	9	12	1.904	0.591	3.731	4.3	1	1	1	3.742	7
Methotrexate	O=C(O)CCC(NC(=O)c1ccc(cc1)N(C)Cc2nc3C(=N)NC(=N)Nc3(nc2))C(=O)O	CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C=C1)C(=O)NC(CCC([O-])=O)C([O-])=O	0.608276253	0.5191156759	TS		-0.972	97.443	1.311	97.443	22	7	37.7	3.471	3.644	5	12	1.908	0.667	3.798	15.1	0	-2	2	3.893	4
Palonosetron	O=C2c1cccc5c1C(CN2C4CN3CCC4(CC3))CCC5	O=C1N(CC2CCCC3=C2C1=CC=C3)C1C[NH+]2CCC1CC2	0.6164414	0.6223524783	TS		1.184	63.786	-0.337	63.786	7.5	13	40.4	1.326	2.322	13	6	2.024	0.341	3.241	4.3	1	1	1	3.865	3
Aminosalicylic acid, 5-	O=C(O)c1cc(N)ccc1(O)	NC1=CC=C(O)C(=C1)C([O-])=O	0.6244998	0.7363606992	TS		-0.257	41.086	1.103	41.086	8.5	4	41.2	1.376	2.322	2	6	1.874	0.773	2.894	5.9	0	-1	1	3.25	3
Cefadroxil	O=C(O)C3=C(C)CSC2N3(C(=O)C2(NC(=O)C(N)c1ccc(O)cc1))	CC1=C(N2C(SC1)C(NC(=O)C([NH3+])C1=CC=C(O)C=C1)C2=O)C([O-])=O	0.6244998	0.7758298192	TS		-1.538	72.882	-3.182	105.101	12.5	8	38.1	1.421	3	5	6	1.902	0.5	3.706	7.1	1	0	1	3.882	4
Moxalactam	O=C(O)C3=C(COC2N3(C(=O)C2(OC)(NC(=O)C(C(=O)O)c1ccc(O)cc1)))CSc4nnnn4C	COC1(NC(=O)C(C([O-])=O)C2=CC=C(O)C=C2)C2OCC(CSC3=NN=NN3C)=C(N2C1=O)C([O-])=O	0.6244998	0.46289194	TS		-1.681	95.336	1.328	127.556	18.5	8	37	1.861	3.524	5	7	1.906	0.514	3.816	11.1	0	-2	0	3.941	4
Pentobarbital	O=C1NC(=O)C(C(=O)N1)(CC)C(C)CCC	CCCC(C)C1(CC)C(=O)NC(=O)NC1=O	0.6244998	0.5701182541	TS		1.909	47.764	0.757	47.764	4.5	8	32.4	0.345	2	7	0	1.852	0.281	2.781	5.9	0	0	0	3.475	0
Talinolol	O=C(Nc1ccc(OCC(O)CNC(C)(C)C)cc1)NC2CCCCC2	CC(C)(C)[NH2+]CC(O)COC1=CC=C(NC(=O)NC2CCCCC2)C=C1	0.6244998	0.5625427388	TS		1.581	96.027	-1.803	96.027	8.5	12	33.3	1.162	2.322	6	6	1.863	0.327	3.103	5	1	1	1	3.729	4
Buflomedil	O=C(c1c(OC)cc(OC)cc1(OC))CCCN2CCCC2	COC1=CC(OC)=C(C(=O)CCC[NH+]2CCCC2)C(OC)=C1	0.632455532	0.7277902682	TS		0.997	92.106	-2.005	92.106	9	7	35.4	1.263	2.322	2	6	1.896	0.409	3.062	2.1	1	1	1	3.785	2
Cefatrizine	O=C(O)C4=C(CSc1nn[nH]c1)CSC3N4(C(=O)C3(NC(=O)C(N)c2ccc(O)cc2))	[NH3+]C(C(=O)NC1C2SCC(CSC3=NNN=C3)=C(N2C1=O)C([O-])=O)C1=CC=C(O)C=C1	0.632455532	0.6264574511	TS		-1.565	75.126	-3.156	139.565	17	8	36.7	1.875	3.392	4	8	1.902	0.548	3.706	12.2	1	0	1	3.965	4
Zaleplon	N#Cc3cnn2c3(nccc2(c1cccc(c1)N(C(=O)C)CC))	CCN(C(C)=O)C1=CC(=CC=C1)C1=CC=NC2=C(C=NN12)C#N	0.632455532	0.3399889343	TS		1.847	120.139	2.268	120.139	19	9	44.7	3.562	3.585	4	12	1.946	0.826	3.82	13.2	0	0	0	3.835	5
Betaxolol	OC(COc1ccc(cc1)CCOCC2CC2)CNC(C)C	CC(C)[NH2+]CC(O)COC1=CC=C(CCOCC2CC2)C=C1	0.632455532	0.7394974389	TS		1.347	87.471	-1.693	87.471	6.5	11	34.6	1.128	2	8	6	1.891	0.295	2.785	1.9	1	1	1	3.765	4
Nomifensine	Nc1cccc3c1CN(C)CC3(c2ccccc2)	C[NH+]1CC(C2=CC=CC=C2)C2=C(C1)C(N)=CC=C2	0.632455532	0.4748157191	TS		1.022	100.731	-0.789	100.731	12.5	12	43.2	2.245	2.807	12	12	2.007	0.694	3.505	5.4	1	1	2	3.762	8
Vincristine	O=CN2c1cc(OC)c(cc1C35(CCN4CC=CC(CC)(C(OC(=O)C)C(O)(C(=O)OC)C23)C45))C9(C(=O)OC)(c7[nH]c6ccccc6c7CCN8CC(CC(O)(C8)CC)C9)	CCC1(O)CC2C[NH+](C1)CCC1=C(NC3=CC=CC=C13)C(C2)(C(=O)OC)C1=C(OC)C=C2N(C=O)C3C4(CC[NH+]5CC=CC(CC)(C45)C(OC(C)=O)C3(O)C(=O)OC)C2=C1	0.632455532	0.4907790988	TS		0.883	218.271	-5.044	218.271	22	25	39	3.716	3.807	19	14	1.989	0.367	4.385	3.4	2	2	2	4.081	6
Telithromycin	O=C2OC5(C)(C(OC(=O)C(C(=O)C(C)C(OC1OC(C)CC(N(C)C)C1(O))C(OC)(C)CC(C(=O)C(C)C5(N2CCCCn3cnc(c3)c4cnccc4))C)C)CC)	CCC1OC(=O)C(C)C(=O)C(C)C(OC2OC(C)CC(C2O)[NH+](C)C)C(C)(CC(C)C(=O)C(C)C2N(CCCCN3C=NC(=C3)C3=CN=CC=C3)C(=O)OC12C)OC	0.640312424	0.4869395364	TS		2.331	200.398	-2.602	200.398	16	20	34.7	1.732	3.392	9	8	1.864	0.276	3.755	4	1	1	1	3.921	2
Triamterene	N=C1NC(=N)C=2N=C(C(=N)NC=2(N1))c3ccccc3	NC1=NC(N)=C2N=C(C(N)=NC2=N1)C1=CC=CC=C1	0.64807407	0.4289239802	TS		1.017	63.738	2.703	63.738	17.5	6	40	3.379	3.248	6	12	1.94	0.921	3.811	23.3	0	0	3	3.782	5
Voriconazole	Fc1ccc(c(F)c1)C(O)(Cn2ncnc2)C(c3ncncc3(F))C	CC(C1=NC=NC=C1F)C(O)(CN1C=NC=N1)C1=CC=C(F)C=C1F	0.64807407	0.3670257472	TS		2.072	107.568	3.681	107.568	16	6	41	2.134	3.248	3	12	1.922	0.64	3.811	12.8	0	0	0	3.803	3
Meperidine	O=C(OCC)C2(c1ccccc1)(CCN(C)CC2)	CCOC(=O)C1(CC[NH+](C)CC1)C1=CC=CC=C1	0.64807407	0.7928808078	TS		0.885	88.853	-1.162	88.853	7.5	10	37.5	1.054	2.322	9	6	1.956	0.417	3.042	2.5	1	1	1	3.669	5
Methicillin	O=C(O)C3N2C(=O)C(NC(=O)c1c(OC)cccc1(OC))C2SC3(C)(C)	COC1=CC=CC(OC)=C1C(=O)NC1C2SC(C)(C)C(N2C1=O)C([O-])=O	0.655743852	0.5490482948	TS		0.567	97.642	1.361	129.861	11.5	7	37.8	1.309	2.807	2	6	1.884	0.442	3.768	4.4	0	-1	0	3.9	3
Chloroquine	N(=C1C=CNc2cc(ccc12)Cl)C(C)CCCN(CC)CC	CC[NH+](CC)CCCC(C)NC1=CC=[NH+]C2=CC(Cl)=CC=C12	0.655743852	0.5070135878	TS		2.681	95.789	-0.169	134.937	9.5	11	36	2.331	2.7	3	9	2.031	0.432	3.179	6	2	2	2	3.734	4
Phenoxymethylpenicillin	O=C(O)C3N2C(=O)C(NC(=O)COc1ccccc1)C2SC3(C)(C)	CC1(C)SC2C(NC(=O)COC3=CC=CC=C3)C(=O)N2C1C([O-])=O	0.670820393	0.654111759	TS		0.648	90.991	1.33	123.211	11	8	39	1.069	2.807	4	6	1.849	0.458	3.448	4.9	0	-1	0	3.824	5
Hydroxydihydroquinidine, 3(S)-	OC(c2ccnc1ccc(OC)cc12)C3N4CCC(C3)C(O)(C4)CC	CCC1(O)C[NH+]2CCC1CC2C(O)C1=CC=NC2=CC=C(OC)C=C12	0.68556546	0.5081451976	TS		0.618	91.622	-2.197	91.622	10.5	11	38.5	2.313	2.7	7	9	2.036	0.42	3.501	3.8	1	1	1	3.913	4
Ketamine	O=C2CCCCC2(NC)(c1ccccc1Cl)	C[NH2+]C1(CCCCC1=O)C1=CC=CC=C1Cl	0.68556546	0.5890986492	TS		1.509	68.259	-1.126	107.408	7.5	10	39.4	1.235	2.322	7	6	1.955	0.469	3.262	3	1	1	1	3.728	4
Phenacetin	O=C(Nc1ccc(OCC)cc1)C	CCOC1=CC=C(NC(C)=O)C=C1	0.68556546	0.7482197029	TS		1.283	72.853	1.68	72.853	8.5	6	38.5	1.309	2.322	2	6	1.86	0.654	2.897	3.8	0	0	0	3.446	4
Bromazepam	O=C2C=NC(c1ncccc1)c3cc(ccc3(N2))Br	BrC1=CC=C2NC(=O)C=NC(C3=NC=CC=C3)C2=C1	0.692820323	0.304341401	TS		2.401	137.365	1.644	137.365	15.5	8	48.3	2.615	3.17	4	11	1.916	0.816	3.485	10.3	0	0	0	3.938	6
Toloxatone	O=C1OC(CO)CN1c2cccc(c2)C	CC1=CC(=CC=C1)N1CC(CO)OC1=O	0.7	0.7180813811	TS		1.594	61.541	0.91	61.541	8	6	39.3	1.243	2.322	5	6	1.888	0.533	3.135	3.6	0	0	0	3.638	4
Abacavir	N=C2NC(=NC1CC1)c3ncn(c3(N2))C4C=CC(CO)C4	NC1=NC(NC2CC2)=C2N=CN(C3CC(CO)C=C3)C2=N1	0.707106781	0.7374124745	TS		0.63	43.261	2.432	43.261	10	6	35.9	2.442	2.807	4	5	1.769	0.476	3.361	15.4	0	0	1	3.773	0
Labetalol	O=C(N)c1cc(ccc1(O))C(O)CNC(C)CCc2ccccc2	CC(CCC1=CC=CC=C1)[NH2+]CC(O)C1=CC=C(O)C(=C1)C(N)=O	0.707106781	0.5613998724	TS		1.1	106.071	-1.01	106.071	14	14	38.8	2.007	3	12	12	1.916	0.583	3.445	4.1	1	1	2	3.843	8
Nalbuphine	Oc6ccc5c1c6(OC2C(O)CCC3(O)(C(N(CCC123)CC4CCC4)C5))	OC1CCC2(O)C3CC4=CC=C(O)C5=C4C2(CC[NH+]3CC2CCC2)C1O5	0.707106781	0.7541710108	TS		0.533	52.52	-1.53	52.52	7	13	38.9	1.269	2	11	6	2.037	0.269	3.689	1.9	1	1	1	3.783	2
Piperacillin	O=C(O)C4N3C(=O)C(NC(=O)C(NC(=O)N1C(=O)C(=O)N(CC)CC1)c2ccccc2)C3SC4(C)(C)	CCN1CCN(C(=O)NC(C(=O)NC2C3SC(C)(C)C(N3C2=O)C([O-])=O)C2=CC=CC=C2)C(=O)C1=O	0.707106781	0.5134052389	TS		-0.466	113.169	0.391	145.388	15	10	37.1	0.862	3.322	6	6	1.896	0.417	3.648	8.1	0	-1	0	3.894	5
Pravastatin (acid)	O=C(O)CC(O)CC(O)CCC2C(C=CC1=CC(O)CC(OC(=O)C(C)CC)C12)C	CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC([O-])=O)C12	0.707106781	0.5310004995	TS		1.454	87.203	2.054	87.203	6	17	35.4	0.859	2.322	13	0	1.972	0.2	3.073	0	0	-1	0	3.67	0
Rolitetracycline	O=C(NCN1CCCC1)C4C(=O)C(N(C)C)C5CC3C(C(=O)c2c(O)cccc2C3(O)(C))C(=O)C5(O)(C4(=O))	C[NH+](C)C1C2CC3C(=C(O)C2(O)C(=O)C(C(=O)NCN2CCCC2)=C1[O-])C(=O)C1=C(O)C=CC=C1C3(C)O	0.707106781	0.5798281806	TS		-2.561	100.019	-3.838	100.019	14	13	38	2.128	3.17	8	6	2.043	0.368	4.154	4.2	1	0	1	3.895	3
Sulbenicillin	O=C(O)C3N2C(=O)C(NC(=O)C(c1ccccc1)S(=O)(=O)O)C2SC3(C)(C)	CC1(C)SC2C(NC(=O)C(C3=CC=CC=C3)S([O-])(=O)=O)C(=O)N2C1C([O-])=O	0.707106781	0.5377603697	TS		-0.67	84.341	0.635	123.824	13.5	9	37.2	1.056	3.17	6	6	1.953	0.5	3.771	4.7	0	-2	0	4.143	5
Trimethoprim	N=C1NC=C(C(=N)N1)Cc2cc(OC)c(OC)c(OC)c2	COC1=CC(CC2=C[NH+]=C(N)N=C2N)=CC(OC)=C1OC	0.707106781	0.5015385436	TS		1.44	89.512	1.261	89.512	13.5	5	35	2.252	2.807	4	10	1.916	0.643	3.875	10	1	1	3	3.811	2
Irinotecan	O=C(Oc3ccc4nc2C1=CC5=C(C(=O)N1Cc2c(c4(c3))CC)COC(=O)C5(O)CC)N7CCC(N6CCCCC6)CC7	CCC1=C2C=C(OC(=O)N3CCC(CC3)[NH+]3CCCCC3)C=CC2=NC2=C1CN1C2=CC2=C(COC(=O)C2(O)CC)C1=O	0.714142843	0.2711358208	TS		2.125	135.293	-0.871	135.293	18	18	40.2	3.223	3.524	11	9	2.034	0.419	4.17	4.9	1	1	1	3.912	3
Atracurium	O=C(OCCCCCOC(=O)CC[N+]3(C)(CCc1cc(OC)c(OC)cc1C3(Cc2ccc(OC)c(OC)c2)))CC[N+]6(C)(CCc4cc(OC)c(OC)cc4C6(Cc5ccc(OC)c(OC)c5))	COC1=CC=C(CC2C3=CC(OC)=C(OC)C=C3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCC3=CC(OC)=C(OC)C=C3C2CC2=CC=C(OC)C(OC)=C2)C=C1OC	0.721110255	0.7170194847	TS		5.81	314.482	-4.767	314.482	31	25	38.1	3.805	3.907	18	24	2.002	0.463	4.133	1.4	2	2	2	3.997	10
Carbenicillin	O=C(O)C(C(=O)NC2C(=O)N1C(C(=O)O)C(C)(C)SC12)c3ccccc3	CC1(C)SC2C(NC(=O)C(C([O-])=O)C3=CC=CC=C3)C(=O)N2C1C([O-])=O	0.721110255	0.558792911	TS		-0.463	91.056	1.289	123.275	12	10	40.5	1.05	3	7	6	1.905	0.462	3.688	4.8	0	-2	0	3.881	5
Chlortetracycline	O=C(N)C3C(=O)C(N(C)C)C4CC2C(C(=O)c1c(O)ccc(c1C2(O)(C))Cl)C(=O)C4(O)(C3(=O))	C[NH+](C)C1C2CC3C(=C(O)C2(O)C(=O)C(C(N)=O)=C1[O-])C(=O)C1=C([O-])C=CC(Cl)=C1C3(C)O	0.721110255	0.6777656155	TS		-3.362	87.853	-4.587	127.002	13.5	11	40	2.171	3.17	5	6	2.044	0.409	4.182	3.6	1	-1	2	3.954	2
Flecainide	O=C(NCC1NCCCC1)c2cc(OCC(F)(F)F)ccc2(OCC(F)(F)F)	FC(F)(F)COC1=CC=C(OCC(F)(F)F)C(=C1)C(=O)NCC1CCCC[NH2+]1	0.721110255	0.6027477348	TS		2.338	83.325	-1.169	83.325	8.5	7	34.7	1.279	2.322	4	6	1.885	0.304	3.132	4.1	1	1	1	3.755	3
Doxacurium	O=C(OCCC[N+]3(C)(CCc1cc(OC)c(OC)c(OC)c1C3(Cc2cc(OC)c(OC)c(OC)c2)))CCC(=O)OCCC[N+]6(C)(CCc4cc(OC)c(OC)c(OC)c4C6(Cc5cc(OC)c(OC)c(OC)c5))	COC1=CC(CC2C3=C(OC)C(OC)=C(OC)C=C3CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]2(C)CCC3=CC(OC)=C(OC)C(OC)=C3C2CC2=CC(OC)=C(OC)C(OC)=C2)=CC(OC)=C1OC	0.728010989	0.7481149734	TS		4.771	338.548	-7.09	338.548	33	20	36.8	3.881	3.907	13	24	2.002	0.446	4.328	1.3	2	2	2	4.009	6
Hexobarbital	O=C1NC(=O)C(C(=O)N1C)(C2=CCCCC2)C	CN1C(=O)NC(=O)C(C)(C1=O)C1=CCCCC1	0.728010989	0.7277165377	TS		1.493	53.707	0.947	53.707	5.5	8	36.4	0.551	2.322	8	0	1.901	0.324	3.108	6.1	0	0	0	3.627	0
Enprofylline	O=C1NC(=O)N(c2nc[nH]c12)CCC	CCCN1C2=C(NC=N2)C(=O)NC1=O	0.741619849	0.8989225406	TS		0.361	36.149	0.736	36.149	7.5	2	33.3	1.201	2.459	1	3	1.687	0.536	2.927	16.7	0	0	0	3.452	0
Ticarcillin	O=C(O)C(C(=O)NC2C(=O)N1C(C(=O)O)C(C)(C)SC12)c3ccsc3	CC1(C)SC2C(NC(=O)C(C([O-])=O)C3=CSC=C3)C(=O)N2C1C([O-])=O	0.741619849	0.6299898197	TS		-0.801	68.449	0.876	131.946	10	7	38.5	0.813	2.907	2	4	1.764	0.4	3.707	5.1	0	-2	0	4.138	1
Oxycodone	O=C1CCC5(O)(C4N(C)CCC25(c3c(OC12)c(OC)ccc3C4))	COC1=CC=C2CC3[NH+](C)CCC45C(OC1=C24)C(=O)CCC35O	0.741619849	0.8599277731	TS		-0.532	72.467	-2.303	72.467	8.5	9	40	1.362	2.322	7	6	2.031	0.37	3.71	2.2	1	1	1	3.683	2
Clonidine	N2=C(Nc1c(cccc1Cl)Cl)NCC2	ClC1=CC=CC(Cl)=C1NC1=[NH+]CCN1	0.748331477	0.6890948767	TS		1.339	44.297	2.66	122.594	8	5	37.5	1.478	2.322	2	6	1.858	0.571	3.081	12.5	1	1	1	3.736	3
Hydroxychloroquine	OCCN(CC)CCCC(N=C1C=CNc2cc(ccc12)Cl)C	CC[NH+](CCO)CCCC(C)NC1=CC=[NH+]C2=CC(Cl)=CC=C12	0.754983444	0.5926923271	TS		1.793	86.963	-0.977	126.112	9.5	10	35.3	2.322	2.7	3	9	2.031	0.413	3.179	5.9	2	2	2	3.738	4
Flumazenil	O=C(OCC)c1ncn2c3ccc(F)cc3(C(=O)N(C)Cc12)	CCOC(=O)C1=C2CN(C)C(=O)C3=CC(F)=CC=C3N2C=N1	0.761577311	0.4155867852	TS		1.797	93.44	2.322	93.44	13	5	41.7	2.411	3.087	2	9	1.89	0.591	3.866	8.3	0	0	0	3.739	3
Tubocurarine	Oc7ccc4cc7(Oc1cc2c(cc1(OC))CCN(C)C2Cc6ccc(Oc3c(O)c(OC)cc5c3C(C4)[N+](C)(C)CC5)cc6)	COC1=CC2=C3C(CC4=CC=C(O)C(OC5=CC6=C(CC[NH+](C)C6CC6=CC=C(OC3=C1O)C=C6)C=C5OC)=C4)[N+](C)(C)CC2	0.761577311	0.6110372484	TS		3.801	206.641	-4.538	206.641	27	20	42.5	4.853	3.7	16	24	2.013	0.6	4.127	2.3	2	2	2	3.975	10
Pindolol	OC(COc1cccc2[nH]ccc12)CNC(C)C	CC(C)[NH2+]CC(O)COC1=C2C=CNC2=CC=C1	0.761577311	0.7829727763	TS		0.695	81.261	-2.378	81.261	8.5	7	35.9	2.043	2.585	3	8	1.905	0.472	2.883	5.1	1	1	1	3.668	4
Cefprozil	O=C(O)C3=C(C=CC)CSC2N3(C(=O)C2(NC(=O)C(N)c1ccc(O)cc1))	CC=CC1=C(N2C(SC1)C(NC(=O)C([NH3+])C1=CC=C(O)C=C1)C2=O)C([O-])=O	0.768114575	0.5869011346	TS		-1.07	91.834	-2.779	124.054	14	10	39.1	1.521	3.17	7	6	1.903	0.519	3.706	6.5	1	0	1	3.882	4
Demethylchlortetracycline	O=C(N)C3C(=O)C(N(C)C)C4Cc2c(O)c1c(c(O)ccc1Cl)c(O)c2C(O)C4(O)(C3(=O))	C[NH+](C)C1C2CC3=C(C(O)C2(O)C(=O)C(C(N)=O)=C1[O-])C(O)=C1C(O)=CC=C(Cl)C1=C3O	0.768114575	0.5330072869	TS		-2.109	71.088	-4.534	110.237	16	10	39.6	2.896	3.248	5	10	2.094	0.5	4.143	3.8	1	0	2	3.953	2
Esmolol	O=C(OC)CCc1ccc(OCC(O)CNC(C)C)cc1	COC(=O)CCC1=CC=C(OCC(O)C[NH2+]C(C)C)C=C1	0.768114575	0.7014348741	TS		0.748	93.826	-1.848	93.826	8	9	34	1.218	2.322	6	6	1.896	0.381	2.864	2.1	1	1	1	3.66	4
Almotriptan	O=S(=O)(N1CCCC1)Cc2ccc3[nH]cc(c3(c2))CCN(C)C	C[NH+](C)CCC1=CNC2=CC=C(CS(=O)(=O)N3CCCC3)C=C12	0.774596669	0.7284072333	TS		1.067	80.178	-2.433	85.985	11	9	34.7	2.157	3	7	8	1.978	0.478	4.483	6.1	1	1	1	4.077	3
Bromopride	O=C(NCCN(CC)CC)c1cc(c(N)cc1(OC))Br	CC[NH+](CC)CCNC(=O)C1=CC(Br)=C(N)C=C1OC	0.774596669	0.660091341	TS		0.299	120.808	-1.574	120.808	8.5	6	32.6	1.254	2.322	1	6	1.886	0.425	3.24	7	1	1	2	3.854	2
Metoclopramide	O=C(NCCN(CC)CC)c1cc(c(N)cc1(OC))Cl	CC[NH+](CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC	0.774596669	0.785960847	TS		0.215	75.3	-1.699	114.448	8.5	6	32.6	1.254	2.322	1	6	1.884	0.425	3.24	7	1	1	2	3.702	2
Ibutilide	O=S(=O)(Nc1ccc(cc1)C(O)CCCN(CC)CCCCCCC)C	CCCCCCC[NH+](CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1	0.774596669	0.4344395845	TS		2.904	92.747	-0.993	98.554	9.5	14	31.7	1.239	2.585	10	6	1.924	0.365	3.662	3.2	1	1	1	3.861	4
Moxifloxacin	O=C(O)C1=CN(c2c(OC)c(c(F)cc2(C1(=O)))N3CC4NCCCC4(C3))C5CC5	COC1=C2N(C=C(C([O-])=O)C(=O)C2=CC(F)=C1N1CC2CCC[NH2+]C2C1)C1CC1	0.774596669	0.84958516	TS		0.07	83.959	-1.862	83.959	12	8	39.6	1.738	2.807	4	6	1.945	0.414	3.729	5.7	1	0	1	3.852	1
Atropine	O=C(OC2CC1N(C)C(CC1)C2)C(c3ccccc3)CO	C[NH+]1C2CCC1CC(C2)OC(=O)C(CO)C1=CC=CC=C1	0.781024968	0.7302691395	TS		0.161	76.293	-1.477	76.293	7.5	11	37.8	0.956	2.322	8	6	1.903	0.357	3.101	2.2	1	1	1	3.851	5
Colchicine	O=C1C=C3C(=CC=C1(OC))c2c(OC)c(OC)c(OC)cc2CCC3(NC(=O)C)	COC1=C(OC)C(OC)=C2C(CCC(NC(C)=O)C3=CC(=O)C(OC)=CC=C23)=C1	0.781024968	0.3712077055	TS		1.718	138.886	1.368	138.886	15	11	40.7	2.555	3.17	9	6	1.93	0.517	3.788	1.9	0	0	0	3.763	1
Ceftobiprole	O=C(O)C5=C(Cc1ccn(c1(O))C2CNCC2)CSC4N5(C(=O)C4(NC(=O)C(=NO)C3=NSC(=N)N3))	NC1=NC(=NS1)C(=N[O-])C(=O)NC1C2SCC(CC3=C(O)N(C=C3)C3CC[NH2+]C3)=C(N2C1=O)C([O-])=O	0.787400787	0.6208328653	TS		-3.063	59.541	-3.344	122.813	16.5	6	35.1	1.907	3.459	3	6	1.878	0.458	3.949	14	1	-1	2	4.113	1
Sotalol	O=S(=O)(Nc1ccc(cc1)C(O)CNC(C)C)C	CC(C)[NH2+]CC(O)C1=CC=C(NS(C)(=O)=O)C=C1	0.787400787	0.89948664	TS		-0.264	70.794	-2.975	76.601	9.5	7	30.8	1.339	2.585	4	6	1.922	0.528	3.662	5.1	1	1	1	3.859	4
