ID	CAS	NEUTRALIZED (Kekulized)_VEGA smiles	Set	Exp in Vivo MN
279	67392-87-4	O=C1OC5(CC1)(C2CC2C4C6C7CC7(C3=CC(=O)CCC3(C)C6(CCC45(C))))	Training	0
280	100-51-6	OCc1ccccc1	Training	0
281	480-22-8	Oc2cccc3cc1cccc(O)c1c(O)c23	Training	0
282	75-34-3	CC(Cl)Cl	Training	1
283	108-70-3	c1c(cc(cc1Cl)Cl)Cl	Training	1
284	131-17-9	O=C(OCC=C)c1ccccc1(C(=O)OCC=C)	Training	0
285	110-86-1	n1ccccc1	Training	0
286	141-78-6	O=C(OCC)C	Training	0
287	127-69-5	O=S(=O)(Nc1onc(c1C)C)c2ccc(N)cc2	Training	0
288	79243-67-7	O=C1CC(C)C4(C)(C(C1)CCC3C4(CCC2(C)(C3(CCC2(O)(CCC)))))	Training	0
289	106-46-7	c1cc(ccc1Cl)Cl	Training	0
290	76-03-9	O=C(O)C(Cl)(Cl)Cl	Training	0
291	87-86-5	Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	0
292	71-58-9	O=C(OC3(C(=O)C)(CCC2C4CC(C1=CC(=O)CCC1(C)C4(CCC23(C)))C))C	Training	0
293	79-81-2	O=C(OCC=C(C=CC=C(C=CC1=C(C)CCCC1(C)C)C)C)CCCCCCCCCCCCCCC	Training	0
294	56-38-2	O=[N+]([O-])c1ccc(OP(OCC)(OCC)=S)cc1	Training	0
295	91-53-2	O(c1ccc2NC(C=C(c2(c1))C)(C)C)CC	Training	0
296	51-43-4	Oc1ccc(cc1(O))C(O)CNC	Training	0
297	121-32-4	O=Cc1ccc(O)c(OCC)c1	Training	0
298	106-65-0	O=C(OC)CCC(=O)OC	Training	0
299	60-57-1	O1C2C1C3CC2C4C3C5(C(=C(C4(C5(Cl)Cl)Cl)Cl)Cl)Cl	Training	1
300	96301-34-7	O=C1C=C(C)C4(C(=C1)CCC2C4(CCC3(C(=O)CCC23)(C)))(C)	Training	0
301	106-51-4	O=C1C=CC(=O)C=C1	Training	1
302	90-15-3	Oc1cccc2ccccc12	Training	0
303	51-03-6	O1c2cc(c(cc2(OC1))CCC)COCCOCCOCCCC	Training	0
304	427-51-0	O=C(OC4(C(=O)C)(CCC3C5C=C(C2=CC(=O)C1CC1C2(C)C5(CCC34(C)))Cl))C	Training	0
306	135-19-3	Oc1ccc2ccccc2(c1)	Training	0
307	144-83-2	O=S(=O)(Nc1ncccc1)c2ccc(N)cc2	Training	1
308	56-93-9	c1ccc(cc1)C[N+](C)(C)C	Training	1
309	57-41-0	O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3	Training	0
310	123-31-9	Oc1ccc(O)cc1	Training	1
311	822-36-6	n1c[nH]cc1C	Training	0
312	126-99-8	C=CC(=C)Cl	Training	0
313	108-05-4	O=C(OC=C)C	Training	1
314	119-61-9	O=C(c1ccccc1)c2ccccc2	Training	0
315	88-72-2	O=[N+]([O-])c1ccccc1C	Training	0
316	36791-04-5	O=C(N)c1ncn(n1)C2OC(CO)C(O)C2(O)	Training	1
317	72-33-3	C#CC3(O)(CCC2C4CCc1cc(OC)ccc1C4(CCC23(C)))	Training	1
318	607-91-0	O(c1cc(cc2OCOc12)CC=C)C	Training	1
319	64-86-8	O=C1C=C3C(=CC=C1(OC))c2c(OC)c(OC)c(OC)cc2CCC3(NC(=O)C)	Training	1
320	111-76-2	OCCOCCCC	Training	0
321	75-07-0	O=CC	Training	1
322	105-60-2	O=C1NCCCCC1	Training	0
323	1838-94-4	O1CC1(C=C)C	Training	1
324	699-18-3	O=[N+]([O-])C=Cc1occc1	Training	0
325	56-23-5	C(Cl)(Cl)(Cl)Cl	Training	0
326	50-02-2	O=C1C=CC3(C(=C1)CCC2C4CC(C)C(O)(C(=O)CO)C4(C)(CC(O)C23(F)))(C)	Training	1
327	54-31-9	O=C(O)c2cc(c(cc2(NCc1occc1))Cl)S(=O)(=O)N	Training	0
329	54-11-5	n1cccc(c1)C2N(C)CCC2	Training	1
330	119-53-9	O=C(c1ccccc1)C(O)c2ccccc2	Training	0
331	75-05-8	N#CC	Training	1
332	21232-47-3	[O-][N+](=Nc1ccc(c(c1)Cl)Cl)c2ccc(c(c2)Cl)Cl	Training	1
333	50-33-9	O=C3N(c1ccccc1)N(c2ccccc2)C(=O)C3CCCC	Training	0
334	150-68-5	O=C(Nc1ccc(cc1)Cl)N(C)C	Training	1
