ID	CAS	SMILES VEGA	Status	Exp. endpoint
205	000127-31-1	O=C3C=C2CCC1C4CCC(O)(C(=O)CO)C4(C)(CC(O)C1(F)C2(C)CC3)	Training	0.5441
206	000127-69-5	O=S(=O)(Nc1onc(c1C)C)c2ccc(N)cc2	Training	0.8692
207	000128-20-1	O=C(C)C2CCC3C4CCC1CC(O)CCC1(C)C4(CCC23(C))	Training	0.6721
208	000132-21-8	n1ccccc1C(c2ccc(cc2)Br)CCN(C)C	Training	1.3979
209	000132-22-9	n1ccccc1C(c2ccc(cc2)Cl)CCN(C)C	Training	1.3424
210	000134-49-6	O1CCNC(C)C1c2ccccc2	Training	1.3711
211	000135-09-1	O=S(=O)(N)c1cc2c(cc1C(F)(F)F)NCNS2(=O)(=O)	Training	0.716
212	000137-58-6	O=C(Nc1c(cccc1C)C)CN(CC)CC	Training	0.2041
213	000138-56-7	O=C(NCc1ccc(OCCN(C)C)cc1)c2cc(OC)c(OC)c(OC)c2	Training	0.9031
214	000144-11-6	OC(c1ccccc1)(CCN2CCCCC2)C3CCCCC3	Training	0.6021
215	000144-75-2	O=S(O)CNc1ccc(cc1)S(=O)(=O)c2ccc(cc2)NCS(=O)O	Training	0.7404
216	000144-80-9	O=C(NS(=O)(=O)c1ccc(N)cc1)C	Training	0.9956
217	000144-82-1	O=S(=O)(Nc1nnc(C)s1)c2ccc(N)cc2	Training	0.7404
218	000144-83-2	O=S(=O)(Nc1ncccc1)c2ccc(N)cc2	Training	1
219	000146-22-5	O=C2N=C1C=CC(=CC1=C(N=C2)C=3C=CCCC=3)[N+](=O)[O-]	Training	1.415
220	000146-48-5	O=C(OC)C3C(O)CCC4CN2CCc1c5ccccc5([nH]c1C2CC34)	Training	-0.2218
221	000147-52-4	O=C(O)C4N3C(=O)C(NC(=O)c2c(OCC)ccc1ccccc12)C3SC4(C)(C)	Training	-0.1549
222	000147-55-7	O=C(O)C3N2C(=O)C(NC(=O)C(Oc1ccccc1)C)C2SC3(C)(C)	Training	-0.041
223	000147-94-4	O=C1N=C(N)C=CN1C2OC(CO)C(O)C2(O)	Training	-0.7782
224	000148-79-8	n1cscc1c2nc3ccccc3([nH]2)	Training	0.0792
