ID	CAS	SMILES	STATUS	EXP_VALUE
308	N.A.	c1coc(Cn2cccc2)c1	TRAINING	0
309	N.A.	CCCCCCCO	TRAINING	0
310	N.A.	CCCCCCCCCCCCCCCCn1cc[n+](C)c1	TRAINING	1
311	N.A.	CCCCCCO	TRAINING	0
312	N.A.	CCCCCC[n+]1ccccc1	TRAINING	0
313	N.A.	On1nnc2ccccc21	TRAINING	0
314	N.A.	Oc1ccc2ccc3cccc4ccc1c2c34	TRAINING	1
315	N.A.	O=[N+]([O-])c1cccc(I)c1	TRAINING	0
316	N.A.	COc1ccccc1[N+](=O)[O-]	TRAINING	0
317	N.A.	COCC(C)O	TRAINING	0
318	N.A.	COCC(C)OC(C)=O	TRAINING	0
319	N.A.	COc1ccc(C)cc1[N+](=O)[O-]	TRAINING	0
320	N.A.	Cc1cccc2c1ccc1ccccc12	TRAINING	0
321	N.A.	CCC[N+]1(C)CCCC1	TRAINING	0
322	N.A.	Cc1cccc(C)c1OCC(C)N	TRAINING	0
323	N.A.	CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1	TRAINING	1
324	N.A.	Cc1cccc(Oc2ccccc2)c1	TRAINING	0
325	N.A.	Cn1cc(-c2ccccc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1	TRAINING	0
326	N.A.	CCCn1cc[n+](C)c1	TRAINING	0
327	N.A.	CCCCCCCCCCCCCCn1cc[n+](C)c1	TRAINING	1
328	N.A.	CCC(=O)OC1(c2ccccc2)CCN(C)CC1	TRAINING	0
329	N.A.	Cn1ccnc1	TRAINING	0
330	N.A.	C=C(C)C(=O)OCCC(C)OC(=O)C(=C)C	TRAINING	0
331	N.A.	CCCCCCCCCCCC(=O)OCC(O)CO	TRAINING	1
332	N.A.	NC(=O)Cc1cccc2ccccc12	TRAINING	0
333	N.A.	O=C(O)Cc1cccc2ccccc12	TRAINING	0
334	N.A.	CNC(=O)Oc1cccc2ccccc12	TRAINING	0
335	N.A.	Oc1cccc2ccccc12	TRAINING	1
336	N.A.	Nc1cccc2ccccc12	TRAINING	1
337	N.A.	O=[N+]([O-])c1ccc(F)cc1F	TRAINING	0
338	N.A.	O=[N+]([O-])c1ccccc1C(F)(F)F	TRAINING	0
339	N.A.	Cc1ccc2ccccc2c1[N+](=O)[O-]	TRAINING	0
340	N.A.	O=[N+]([O-])c1cccc(C(F)(F)F)c1	TRAINING	0
341	N.A.	CCCC[N+](=O)[O-]	TRAINING	0
342	N.A.	CCCCCC[N+](=O)[O-]	TRAINING	0
343	N.A.	O=[N+]([O-])c1cccc2ccccc12	TRAINING	0
344	N.A.	O=[N+]([O-])c1ccc2ccc3cccc4ccc1c2c34	TRAINING	1
345	N.A.	CCCCCCCCCO	TRAINING	0
346	N.A.	CCCCCCOc1cc(C)c(O)c(C)c1C	TRAINING	1
347	N.A.	COCC(O)CO	TRAINING	0
348	N.A.	CCCCCCCCS(=O)(=O)Cl	TRAINING	0
349	N.A.	CCCCCCCCO	TRAINING	0
350	N.A.	C=CC(O)CCCCC	TRAINING	0
351	N.A.	CCCCCCCCN1CCCC1=O	TRAINING	0
352	N.A.	C#CC(O)CCCCC	TRAINING	0
353	N.A.	CCCCCCCCCCCCCCCO	TRAINING	0
354	N.A.	CCCCCO	TRAINING	0
355	N.A.	CC(O)COc1ccccc1	TRAINING	0
356	N.A.	c1ccc(-n2cnnn2)cc1	TRAINING	0
357	N.A.	NC(=S)Nc1ccccc1	TRAINING	0
358	N.A.	Cc1cc(=O)n(-c2ccccc2)[nH]1	TRAINING	1
359	N.A.	O=C1CCN(c2ccccc2)N1	TRAINING	0
