Id	CAS 	SMILES	SET	 ave log1/LC50(mmol/L) 
411	000108-90-7	c(cccc1)(c1)Cl	Training	1.050
412	000095-49-8	c(c(ccc1)Cl)(c1)C	Test	1.216
413	000108-41-8	c(cccc1Cl)(c1)C	Test	0.840
414	000106-43-4	c(ccc(c1)Cl)(c1)C	Training	1.325
415	000095-50-1	c(c(ccc1)Cl)(c1)Cl	Training	1.473
416	000541-73-1	c(cccc1Cl)(c1)Cl	Test	1.318
417	000106-46-7	c(ccc(c1)Cl)(c1)Cl	Test	1.629
418	000095-73-8	c(ccc(c1Cl)C)(c1)Cl	Test	1.540
419	000095-75-0	c(ccc(c1Cl)Cl)(c1)C	Training	1.637
420	000118-69-4	c(c(c(cc1)Cl)C)(c1)Cl	Training	1.845
421	000611-19-8	c(c(ccc1)Cl)(c1)CCl	Training	2.776
422	019398-61-9	c(ccc(c1C)Cl)(c1)Cl	Test	1.605
423	000087-61-6	c(c(c(cc1)Cl)Cl)(c1)Cl	Test	2.017
424	000108-70-3	c(cc(cc1Cl)Cl)(c1)Cl	Training	1.745
425	000120-82-1	c(ccc(c1Cl)Cl)(c1)Cl	Training	1.891
426	006639-30-1	c(c(cc(c1Cl)Cl)Cl)(c1)C	Training	2.060
427	000634-66-2	c(c(c(c(c1)Cl)Cl)Cl)(c1)Cl	Test	2.350
428	000634-90-2	c(cc(c(c1Cl)Cl)Cl)(c1)Cl	Training	2.430
429	000095-94-3	c(c(cc(c1Cl)Cl)Cl)(c1)Cl	Test	2.555
430	000081-19-6	c(c(c(cc1)Cl)C(Cl)Cl)(c1)Cl	Test	2.373
431	000608-93-5	c(c(c(c(c1Cl)Cl)Cl)Cl)(c1)Cl	Test	3.060
